Time [ s]	Intensity
0.00000	851.8
0.00153	836.1
0.00305	796.4
0.00458	826.6
0.00611	814.3
0.00764	817.1
0.00916	802.8
0.01069	811.6
0.01222	844.8
0.01375	816.4
0.01527	807.7
0.01680	798.9
0.01833	808.4
0.01985	799.6
0.02138	818.8
0.02291	796.5
0.02444	780.8
0.02596	796.7
0.02749	782.1
0.02902	815.1
0.03055	781.7
0.03207	774.9
0.03360	792.1
0.03513	774.4
0.03665	802.7
0.03818	811.5
0.03971	779.4
0.04124	763.4
0.04276	795.0
0.04429	792.0
0.04582	792.9
0.04735	778.5
0.04887	773.4
0.05040	774.2
0.05193	771.3
0.05345	781.7
0.05498	780.9
0.05651	785.5
0.05804	772.8
0.05956	774.5
0.06109	779.5
0.06262	765.6
0.06415	775.0
0.06567	762.8
0.06720	771.8
0.06873	759.3
0.07025	781.7
0.07178	777.1
0.07331	749.0
0.07484	779.6
0.07636	757.0
0.07789	775.5
0.07942	766.0
0.08095	776.9
0.08247	754.9
0.08400	747.1
0.08553	767.9
0.08705	730.0
0.08858	761.7
0.09011	783.6
0.09164	761.0
0.09316	789.9
0.09469	763.3
0.09622	774.6
0.09775	761.0
0.09927	726.7
0.10080	782.1
0.10233	763.2
0.10385	765.5
0.10538	768.4
0.10691	768.0
0.10844	768.5
0.10996	759.3
0.11149	752.3
0.11302	761.2
0.11455	754.5
0.11607	738.0
0.11760	763.7
0.11913	756.4
0.12065	757.3
0.12218	766.1
0.12371	736.2
0.12524	772.7
0.12676	760.9
0.12829	774.9
0.12982	767.7
0.13135	755.3
0.13287	753.4
0.13440	746.4
0.13593	740.3
0.13745	763.1
0.13898	750.6
0.14051	756.1
0.14204	751.8
0.14356	748.9
0.14509	759.6
0.14662	745.6
0.14815	749.1
0.14967	752.4
0.15120	738.9
0.15273	745.0
0.15425	732.6
0.15578	732.5
0.15731	737.2
0.15884	732.6
0.16036	718.5
0.16189	738.7
0.16342	744.7
0.16495	739.4
0.16647	746.7
0.16800	720.1
0.16953	740.2
0.17105	745.1
0.17258	742.4
0.17411	732.6
0.17564	708.9
0.17716	743.1
0.17869	746.8
0.18022	724.8
0.18175	734.7
0.18327	746.4
0.18480	716.7
0.18633	727.7
0.18785	750.1
0.18938	731.3
0.19091	732.0
0.19244	738.1
0.19396	746.9
0.19549	748.2
0.19702	735.4
0.19855	746.4
0.20007	728.3
0.20160	718.8
0.20313	719.9
0.20465	733.5
0.20618	756.9
0.20771	720.2
0.20924	728.3
0.21076	725.1
0.21229	729.7
0.21382	721.3
0.21535	711.5
0.21687	732.9
0.21840	736.9
0.21993	737.3
0.22145	709.6
0.22298	721.2
0.22451	739.7
0.22604	717.1
0.22756	736.4
0.22909	732.9
0.23062	744.9
0.23215	743.0
0.23367	713.5
0.23520	742.1
0.23673	711.5
0.23825	721.8
0.23978	729.7
0.24131	733.0
0.24284	738.5
0.24436	736.2
0.24589	706.2
0.24742	708.3
0.24895	714.6
0.25047	743.9
0.25200	723.2
0.25353	717.5
0.25505	725.2
0.25658	710.9
0.25811	714.0
0.25964	721.4
0.26116	728.6
0.26269	702.2
0.26422	724.8
0.26575	715.6
0.26727	730.3
0.26880	726.2
0.27033	726.5
0.27185	729.7
0.27338	736.1
0.27491	738.5
0.27644	727.8
0.27796	720.6
0.27949	729.3
0.28102	738.8
0.28255	755.0
0.28407	712.3
0.28560	721.7
0.28713	724.2
0.28865	714.2
0.29018	713.8
0.29171	730.4
0.29324	740.9
0.29476	721.4
0.29629	708.4
0.29782	739.3
0.29935	715.2
0.30087	705.1
0.30240	728.6
0.30393	719.7
0.30545	726.0
0.30698	731.8
0.30851	713.2
0.31004	726.0
0.31156	717.6
0.31309	721.8
0.31462	707.7
0.31615	725.1
0.31767	710.3
0.31920	704.1
0.32073	709.2
0.32225	726.9
0.32378	721.1
0.32531	705.5
0.32684	714.1
0.32836	688.3
0.32989	703.5
0.33142	720.5
0.33295	697.3
0.33447	722.7
0.33600	713.2
0.33753	714.7
0.33905	700.5
0.34058	714.4
0.34211	711.6
0.34364	713.8
0.34516	713.9
0.34669	706.7
0.34822	711.7
0.34975	716.4
0.35127	703.5
0.35280	706.4
0.35433	702.4
0.35585	690.2
0.35738	715.1
0.35891	716.5
0.36044	707.4
0.36196	711.6
0.36349	696.3
0.36502	702.2
0.36655	695.2
0.36807	690.0
0.36960	706.7
0.37113	730.3
0.37265	705.8
0.37418	700.3
0.37571	711.9
0.37724	695.8
0.37876	722.0
0.38029	708.5
0.38182	684.4
0.38335	704.6
0.38487	709.0
0.38640	684.0
0.38793	709.3
0.38945	711.5
0.39098	700.7
0.39251	692.5
0.39404	712.5
0.39556	712.8
0.39709	714.9
0.39862	707.5
0.40015	709.5
0.40167	729.7
0.40320	705.6
0.40473	693.8
0.40625	717.7
0.40778	699.8
0.40931	707.6
0.41084	697.3
0.41236	701.6
0.41389	688.9
0.41542	705.0
0.41695	715.3
0.41847	704.4
0.42000	696.3
0.42153	705.7
0.42305	704.0
0.42458	673.3
0.42611	682.6
0.42764	697.0
0.42916	693.4
0.43069	702.7
0.43222	708.6
0.43375	709.9
0.43527	701.8
0.43680	706.2
0.43833	712.2
0.43985	697.2
0.44138	707.5
0.44291	700.5
0.44444	692.5
0.44596	720.3
0.44749	679.7
0.44902	684.8
0.45055	671.0
0.45207	709.6
0.45360	700.7
0.45513	696.6
0.45665	690.4
0.45818	690.1
0.45971	701.1
0.46124	687.7
0.46276	683.1
0.46429	709.7
0.46582	717.7
0.46735	707.7
0.46887	701.1
0.47040	708.7
0.47193	694.1
0.47345	689.6
0.47498	706.6
0.47651	695.2
0.47804	705.3
0.47956	702.0
0.48109	690.3
0.48262	683.1
0.48415	704.4
0.48567	685.7
0.48720	693.7
0.48873	692.2
0.49025	713.1
0.49178	693.5
0.49331	685.1
0.49484	681.4
0.49636	703.5
0.49789	708.3
0.49942	694.0
0.50095	707.0
0.50247	704.2
0.50400	686.0
0.50553	689.2
0.50705	703.2
0.50858	679.3
0.51011	704.2
0.51164	692.3
0.51316	693.7
0.51469	698.1
0.51622	678.6
0.51775	691.8
0.51927	694.3
0.52080	685.1
0.52233	679.4
0.52385	692.9
0.52538	684.4
0.52691	697.9
0.52844	686.3
0.52996	711.8
0.53149	681.7
0.53302	707.7
0.53455	702.1
0.53607	701.5
0.53760	703.2
0.53913	676.6
0.54065	698.3
0.54218	687.8
0.54371	680.0
0.54524	688.5
0.54676	687.2
0.54829	702.3
0.54982	705.7
0.55135	686.7
0.55287	680.4
0.55440	686.0
0.55593	681.3
0.55745	687.4
0.55898	703.8
0.56051	684.6
0.56204	703.4
0.56356	679.8
0.56509	687.5
0.56662	684.4
0.56815	694.9
0.56967	719.5
0.57120	698.9
0.57273	673.1
0.57425	683.3
0.57578	681.0
