Time [ s]	Intensity
0.00000	851.8
0.00153	836.1
0.00305	796.4
0.00458	826.6
0.00611	814.3
0.00764	817.1
0.00916	802.8
0.01069	811.6
0.01222	844.8
0.01375	816.4
0.01527	807.7
0.01680	798.9
0.01833	808.4
0.01985	799.6
0.02138	818.8
0.02291	796.5
0.02444	780.8
0.02596	796.7
0.02749	782.1
0.02902	815.1
0.03055	781.7
0.03207	774.9
0.03360	792.1
0.03513	774.4
0.03665	802.7
0.03818	811.5
0.03971	779.4
0.04124	763.4
0.04276	795.0
0.04429	792.0
0.04582	792.9
0.04735	778.5
0.04887	773.4
0.05040	774.2
0.05193	771.3
0.05345	781.7
0.05498	780.9
0.05651	785.5
